"season","season_type","week","player_display_name","player_position","team_abbr","efficiency","percent_attempts_gte_eight_defenders","avg_time_to_los","rush_attempts","rush_yards","avg_rush_yards","rush_touchdowns","player_gsis_id","player_first_name","player_last_name","player_jersey_number","player_short_name","expected_rush_yards","rush_yards_over_expected","rush_yards_over_expected_per_att","rush_pct_over_expected"
2024,"REG",0,"Josh Jacobs","RB","GB",3.56379232505643,20.265780730897,2.71720146520147,301,1329,4.41528239202658,15,"00-0035700","Joshua","Jacobs",8,"J.Jacobs",1103.19712456664,216.802875433363,0.725093228874125,0.488294314381271
2024,"REG",0,"Breece Hall","RB","NYJ",4.28954337899543,11.4832535885167,2.88664361702128,209,876,4.19138755980861,5,"00-0038120","Breece","Hall",20,"B.Hall",861.435104772275,1.56489522772506,0.00763363525719541,0.385365853658537
2024,"REG",0,"Javonte Williams","RB","DEN",4.04027290448343,25.8992805755396,2.81214754098361,139,513,3.69064748201439,4,"00-0036997","Javonte","Williams",33,"J.Williams",589.463994578781,-83.4639945787807,-0.6048115549187,0.304347826086957
2024,"REG",0,"Kyren Williams","RB","LAR",3.76462663587375,14.2405063291139,2.66624652777778,316,1299,4.11075949367089,14,"00-0037840","Kyren","Williams",23,"K.Williams",1273.94142205793,0.0585779420732706,0.000190188123614515,0.38961038961039
2024,"REG",0,"D'Andre Swift","RB","CHI",4.50144942648592,22.5296442687747,2.86581981981982,253,959,3.7905138339921,6,"00-0036275","D'Andre","Swift",4,"D.Swift",1125.59343894978,-173.593438949779,-0.694373755799116,0.288
2024,"REG",0,"Kenneth Walker","RB","SEA",4.76017452006981,18.3006535947712,2.96675187969925,153,573,3.74509803921569,7,"00-0038134","Kenneth","Walker",9,"K.Walker",583.606102026386,-15.6061020263861,-0.103351669048915,0.403973509933775
2024,"REG",0,"Nick Chubb","RB","CLE",4.58481927710843,21.5686274509804,2.77503296703297,102,332,3.25490196078431,3,"00-0034791","Nicholas","Chubb",24,"N.Chubb",352.900558215405,-24.9005582154051,-0.249005582154051,0.42
2024,"REG",0,"Bijan Robinson","RB","ATL",4.14989010989011,12.8289473684211,2.89090425531915,304,1456,4.78947368421053,14,"00-0038542","Bijan","Robinson",7,"B.Robinson",1227.21002429158,198.789975708424,0.676156379960627,0.482993197278912
2024,"REG",0,"Jonathan Taylor","RB","IND",3.36793850454228,19.1419141914191,2.70041090909091,303,1431,4.72277227722772,11,"00-0036223","Jonathan","Taylor",28,"J.Taylor",1227.38289396468,193.617106035317,0.645390353451055,0.39
2024,"REG",0,"Rachaad White","RB","TB",3.97119086460033,22.2222222222222,2.62325196850394,144,613,4.25694444444444,3,"00-0037256","Rachaad","White",1,"R.White",564.542239587678,48.4577604123216,0.336512225085567,0.402777777777778
2024,"REG",0,"Chuba Hubbard","RB","CAR",3.33276150627615,22.4,2.61535319148936,250,1195,4.78,10,"00-0036555","Chuba","Hubbard",30,"C.Hubbard",903.995854478368,270.004145521632,1.11112817087092,0.510288065843621
2024,"REG",0,"Saquon Barkley","RB","PHI",3.09868329177057,20.5797101449275,2.76844230769231,345,2005,5.81159420289855,13,"00-0034844","Saquon","Barkley",26,"S.Barkley",1453.03553069927,545.964469300726,1.61051465870421,0.43952802359882
2024,"REG",0,"Alvin Kamara","RB","NO",4.41126315789474,25.4385964912281,2.76294472361809,228,950,4.16666666666667,6,"00-0033906","Alvin","Kamara",41,"A.Kamara",964.567666899943,-34.5676668999434,-0.152954278318334,0.380530973451327
2024,"REG",0,"Tony Pollard","RB","TEN",4.11975903614458,21.1538461538462,2.99222978723404,260,1079,4.15,5,"00-0035261","Tony","Pollard",20,"T.Pollard",1031.36992313633,11.6300768636679,0.0457877041876689,0.381889763779528
2024,"REG",0,"Tyrone Tracy","RB","NYG",3.6342073897497,17.7083333333333,2.71082681564246,192,839,4.36979166666667,5,"00-0039384","Tyrone","Tracy",29,"T.Tracy",843.214157148982,-18.2141571489824,-0.0968838146222468,0.303191489361702
2024,"REG",0,"Joe Mixon","RB","HOU",4.19385826771654,26.1224489795918,2.84453333333333,245,1016,4.1469387755102,11,"00-0033897","Joe","Mixon",28,"J.Mixon",922.417758558848,79.5822414411522,0.330216769465362,0.381742738589212
2024,"REG",0,"Cam Akers","RB","MIN",4.09182432432432,18.2692307692308,2.86165882352941,104,444,4.26923076923077,2,"00-0036414","Cam","Akers",27,"C.Akers",448.056625120185,-6.05662512018517,-0.0588021856328658,0.310679611650485
2024,"REG",0,"Devon Achane","RB","MIA",4.05988974641676,20.1970443349754,2.830625,203,907,4.4679802955665,6,"00-0039040","Devon","Achane",28,"D.Achane",975.860682210472,-95.8606822104719,-0.489085113318734,0.301020408163265
2024,"REG",0,"Aaron Jones","RB","MIN",3.8715992970123,18.4313725490196,2.74990170940171,255,1138,4.46274509803922,5,"00-0033293","Aaron","Jones",33,"A.Jones",1061.50293908515,42.4970609148472,0.169310999660746,0.406374501992032
2024,"REG",0,"Chase Brown","RB","CIN",3.72421212121212,18.3406113537118,2.60958095238095,229,990,4.32314410480349,7,"00-0038597","Chase","Brown",30,"C.Brown",890.063140009449,66.9368599905509,0.29882526781496,0.392857142857143
